artist_name,title,link,streams_total,streams_daily
Drake,One Dance,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,"3972421830,0","2105326,0"
Drake,God's Plan,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,"2959645182,0","892165,0"
Drake,Passionfruit,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,"2089510626,0","1110516,0"
Drake,Work,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt,"1634281186,0","482841,0"
Drake,Hotline Bling,https://open.spotify.com/track/0wwPcA6wtMf6HUMpIRdeP7,"1581693816,0","752550,0"
Drake,MIA (feat. Drake),https://open.spotify.com/track/3Ueq2zboxwAbsvHrOjdEqz,"1512746615,0","317565,0"
Drake,In My Feelings,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,"1497233758,0","191768,0"
Drake,Nice For What,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,"1444645707,0","332914,0"
Drake,Life Is Good (feat. Drake),https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,"1419094559,0","362811,0"
Drake,Going Bad (feat. Drake),https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,"1334761516,0","218809,0"
Drake,Love Me,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg,"1319597269,0","1024556,0"
Drake,Yes Indeed,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,"1278026681,0","238905,0"
Drake,Jimmy Cooks (feat. 21 Savage),https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,"1273028797,0","510605,0"
Drake,Nonstop,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,"1270600961,0","277777,0"
Drake,No Guidance (feat. Drake),https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,"1262974995,0","431679,0"
Drake,"Hold On, We're Going Home",https://open.spotify.com/track/6jdOi5U5LBzQrc4c1VT983,"1239102378,0","454349,0"
Drake,WAIT FOR U (feat. Drake & Tems),https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,"1238543650,0","874685,0"
Drake,Toosie Slide,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"1178241549,0","213164,0"
Drake,Too Good,https://open.spotify.com/track/3BtuIIrQlkujKPuWF2B85z,"1157276124,0","175411,0"
Drake,Laugh Now Cry Later (feat. Lil Durk),https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,"1110269697,0","279711,0"
Drake,Money In The Grave (Drake ft. Rick Ross),https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,"1091920799,0","245594,0"
